[W socket.cpp:464] [c10d] The server socket cannot be initialized on [::]:29500 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:697] [c10d] The client socket cannot be initialized to connect to [::ffff:127.0.0.1]:29500 (errno: 97 - Address family not supported by protocol).
Downloading https://www.chrsmrrs.com/graphkerneldatasets/ENZYMES.zip
Processing...
Done!
wandb: Currently logged in as: shokuno (shokuno-the-university-of-tokyo). Use `wandb login --relogin` to force relogin
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory.
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory
wandb: Tracking run with wandb version 0.17.9
wandb: Run data is saved locally in /tmp/wandb/run-20250608_222947-l59xbizq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run enzymes-ddp
wandb: ⭐️ View project at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae
wandb: 🚀 View run at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae/runs/l59xbizq
Ep 000 | train 1.2820 | val 1.7355
Ep 001 | train 1.3077 | val 1.6641
Ep 002 | train 1.2905 | val 1.6336
Ep 003 | train 1.3044 | val 1.6478
Ep 004 | train 1.3062 | val 1.6332
Ep 005 | train 1.3163 | val 1.6149
Ep 006 | train 1.3260 | val 1.6389
Ep 007 | train 1.3278 | val 1.7418
Ep 008 | train 1.3069 | val 1.6240
Ep 009 | train 1.3180 | val 1.6981
Ep 010 | train 1.3440 | val 1.5959
Ep 011 | train 1.3316 | val 1.6506
Ep 012 | train 1.3332 | val 1.6777
Ep 013 | train 1.3311 | val 1.9834
Ep 014 | train 1.3383 | val 1.7412
Ep 015 | train 1.3278 | val 1.6375
Ep 016 | train 1.3396 | val 1.5987
Ep 017 | train 1.3366 | val 1.6169
Ep 018 | train 1.3371 | val 1.6210
Ep 019 | train 1.3468 | val 1.5442
Ep 020 | train 1.3370 | val 1.5972
Ep 021 | train 1.3239 | val 1.5416
Ep 022 | train 1.3373 | val 1.4917
Ep 023 | train 1.3389 | val 1.5040
Ep 024 | train 1.3416 | val 1.5651
