[W socket.cpp:464] [c10d] The server socket cannot be initialized on [::]:29500 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:697] [c10d] The client socket cannot be initialized to connect to [::ffff:127.0.0.1]:29500 (errno: 97 - Address family not supported by protocol).
Downloading https://www.chrsmrrs.com/graphkerneldatasets/ENZYMES.zip
Processing...
Done!
wandb: Currently logged in as: shokuno (shokuno-the-university-of-tokyo). Use `wandb login --relogin` to force relogin
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory.
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory
wandb: Tracking run with wandb version 0.17.9
wandb: Run data is saved locally in /tmp/wandb/run-20250608_223817-7196mc0w
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run enzymes-ddp
wandb: ⭐️ View project at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae
wandb: 🚀 View run at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae/runs/7196mc0w
Ep 000 | train 1.2842 | val 1.6535
Ep 001 | train 1.3055 | val 1.6294
Ep 002 | train 1.2847 | val 1.5828
Ep 003 | train 1.3073 | val 1.5925
Ep 004 | train 1.3258 | val 1.6335
Ep 005 | train 1.3102 | val 1.5992
Ep 006 | train 1.3039 | val 1.6943
Ep 007 | train 1.3226 | val 1.6443
Ep 008 | train 1.2993 | val 1.6161
Ep 009 | train 1.3213 | val 1.6496
Ep 010 | train 1.3285 | val 1.5236
Ep 011 | train 1.3180 | val 1.5555
Ep 012 | train 1.3029 | val 1.6600
Ep 013 | train 1.3022 | val 1.9031
Ep 014 | train 1.3128 | val 1.6810
Ep 015 | train 1.3064 | val 1.5765
Ep 016 | train 1.3064 | val 1.4866
Ep 017 | train 1.2887 | val 1.5203
Ep 018 | train 1.2956 | val 1.5249
Ep 019 | train 1.3071 | val 1.4674
Ep 020 | train 1.2866 | val 1.4921
Ep 021 | train 1.2680 | val 1.4796
Ep 022 | train 1.2770 | val 1.4539
Ep 023 | train 1.2917 | val 1.4232
Ep 024 | train 1.2764 | val 1.4080
Ep 025 | train 1.2704 | val 1.3783
Ep 026 | train 1.2531 | val 1.4422
Ep 027 | train 1.2537 | val 1.4190
Ep 028 | train 1.2637 | val 1.3691
Ep 029 | train 1.2603 | val 1.4071
Ep 030 | train 1.2305 | val 1.3598
Ep 031 | train 1.2509 | val 1.3649
Ep 032 | train 1.2441 | val 1.4127
Ep 033 | train 1.2300 | val 1.3423
Ep 034 | train 1.2266 | val 1.3277
