[W socket.cpp:464] [c10d] The server socket cannot be initialized on [::]:29500 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:697] [c10d] The client socket cannot be initialized to connect to [::ffff:127.0.0.1]:29500 (errno: 97 - Address family not supported by protocol).
Downloading https://www.chrsmrrs.com/graphkerneldatasets/ENZYMES.zip
Processing...
Done!
wandb: Currently logged in as: shokuno (shokuno-the-university-of-tokyo). Use `wandb login --relogin` to force relogin
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory.
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory
wandb: Tracking run with wandb version 0.17.9
wandb: Run data is saved locally in /tmp/wandb/run-20250608_230120-k4jwkp1s
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run enzymes-ddp
wandb: ⭐️ View project at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae
wandb: 🚀 View run at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae/runs/k4jwkp1s
Ep 000 | train 1.2838 | val 1.6531
Ep 001 | train 1.3053 | val 1.6278
Ep 002 | train 1.2845 | val 1.5832
Ep 003 | train 1.3072 | val 1.5916
Ep 004 | train 1.3257 | val 1.6320
Ep 005 | train 1.3094 | val 1.6054
Ep 006 | train 1.3022 | val 1.6843
Ep 007 | train 1.3225 | val 1.6373
Ep 008 | train 1.3034 | val 1.6009
Ep 009 | train 1.3234 | val 1.6278
Ep 010 | train 1.3274 | val 1.5289
Ep 011 | train 1.3180 | val 1.5608
Ep 012 | train 1.3060 | val 1.6602
Ep 013 | train 1.3061 | val 1.9117
Ep 014 | train 1.3130 | val 1.6820
Ep 015 | train 1.3111 | val 1.5705
Ep 016 | train 1.3069 | val 1.4854
Ep 017 | train 1.3050 | val 1.5249
Ep 018 | train 1.2967 | val 1.5234
Ep 019 | train 1.2997 | val 1.4600
Ep 020 | train 1.2828 | val 1.4993
Ep 021 | train 1.2712 | val 1.5048
Ep 022 | train 1.2708 | val 1.4534
Ep 023 | train 1.3025 | val 1.4288
Ep 024 | train 1.2830 | val 1.4406
Ep 025 | train 1.2794 | val 1.4112
Ep 026 | train 1.2523 | val 1.4258
Ep 027 | train 1.2628 | val 1.4136
Ep 028 | train 1.2746 | val 1.3864
Ep 029 | train 1.2625 | val 1.4324
Ep 030 | train 1.2358 | val 1.3467
Ep 031 | train 1.2452 | val 1.3551
Ep 032 | train 1.2463 | val 1.3744
Ep 033 | train 1.2380 | val 1.3267
Ep 034 | train 1.2241 | val 1.3434
Ep 035 | train 1.2177 | val 1.3427
Ep 036 | train 1.2043 | val 1.2774
Ep 037 | train 1.2072 | val 1.2852
Ep 038 | train 1.2039 | val 1.2948
Ep 039 | train 1.1698 | val 1.3230
Ep 040 | train 1.1842 | val 1.2403
Ep 041 | train 1.1706 | val 1.2460
Ep 042 | train 1.1616 | val 1.2446
Ep 043 | train 1.1263 | val 1.2041
Ep 044 | train 1.1250 | val 1.2285
Ep 045 | train 1.1079 | val 1.1748
Ep 046 | train 1.1137 | val 1.1505
Ep 047 | train 1.0876 | val 1.1483
Ep 048 | train 1.0842 | val 1.1439
Ep 049 | train 1.0669 | val 1.1372
Ep 050 | train 1.0345 | val 1.1129
Ep 051 | train 1.0559 | val 1.1083
Ep 052 | train 1.0371 | val 1.1034
Ep 053 | train 1.0085 | val 1.0943
Ep 054 | train 0.9878 | val 1.0603
Ep 055 | train 0.9940 | val 1.0492
Ep 056 | train 0.9721 | val 1.0315
Ep 057 | train 0.9736 | val 1.0200
Ep 058 | train 0.9525 | val 1.0155
Ep 059 | train 0.9415 | val 0.9978
Ep 060 | train 0.9299 | val 1.0033
Ep 061 | train 0.9103 | val 1.0589
Ep 062 | train 0.9068 | val 1.0112
Ep 063 | train 0.9015 | val 0.9634
Ep 064 | train 0.8905 | val 0.9496
Ep 065 | train 0.8568 | val 0.9810
Ep 066 | train 0.8492 | val 0.9477
Ep 067 | train 0.8676 | val 0.9646
Ep 068 | train 0.8391 | val 0.9128
Ep 069 | train 0.8230 | val 0.9887
Ep 070 | train 0.8290 | val 0.9186
Ep 071 | train 0.8161 | val 0.9208
Ep 072 | train 0.8113 | val 0.9065
Ep 073 | train 0.7792 | val 0.9035
Ep 074 | train 0.8035 | val 0.9078
Ep 075 | train 0.7980 | val 0.9202
Ep 076 | train 0.7694 | val 0.8835
Ep 077 | train 0.7734 | val 0.8534
Ep 078 | train 0.7685 | val 0.8696
Ep 079 | train 0.7756 | val 0.8530
Ep 080 | train 0.7541 | val 0.8634
Ep 081 | train 0.7219 | val 0.8434
Ep 082 | train 0.7138 | val 0.8478
Ep 083 | train 0.7389 | val 0.8046
Ep 084 | train 0.7347 | val 0.8082
Ep 085 | train 0.7396 | val 0.8828
Ep 086 | train 0.7285 | val 0.8278
Ep 087 | train 0.7045 | val 0.8101
Ep 088 | train 0.7042 | val 0.8199
Ep 089 | train 0.6908 | val 0.8058
Ep 090 | train 0.7209 | val 0.9836
Ep 091 | train 0.6840 | val 0.7872
Ep 092 | train 0.6935 | val 0.8117
Ep 093 | train 0.6724 | val 0.8116
